#{"t_start": 1643653368.48495, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
-65.424011,50,14.248202
-51.271924,50,24.302529
-56.140547,50,35.313648
-76.803618,50,63.898569
-66.510043,50,85.95011
-38.861531,50,111.869643
-80.298319,50,140.535755
-66.638425,50,161.84731
-51.83812,50,191.860255
-68.363567,50,223.758515
-66.468552,50,243.183502
-54.115592,50,280.210471
-54.711175,50,308.477013
-54.800089,50,325.118205
-40.580759,50,349.854844
-49.609165,50,383.185473
-56.249158,50,417.10185
-56.133411,50,436.020763
-58.629127,50,454.808765
-45.77345,50,480.83359
-45.910079,50,507.816084
-50.020376,50,529.534862
-47.280575,50,557.588595
-48.76331,50,582.722687
-54.703635,50,598.900668
-59.189904,50,613.708967
-50.225368,50,626.838057
-52.198575,50,649.986796
-64.238687,50,663.336028
-34.414142,50,678.881244
-36.615631,50,705.665842
-57.337249,50,720.480039
-41.162099,50,738.557183
-62.777568,50,757.442275
-43.013642,50,787.083267
-56.907562,50,824.914697
-43.729744,50,839.77654
-44.729829,50,855.002146
-60.19091,50,882.656496
-35.551133,50,902.922491
-47.238174,50,920.986962
-53.708689,50,949.636926
-39.281147,50,966.985184
-45.505463,50,991.001574
-39.000232,50,1014.641726
-45.924148,50,1030.059772
-48.153867,50,1043.619749
-57.527215,50,1070.800776
-58.361381,50,1086.290607
-54.393321,50,1106.773306
-54.233783,50,1134.382559
-55.031339,50,1148.803622
-49.213428,50,1173.344048
-56.348438,50,1186.988751
-66.167678,50,1216.292909
-52.876111,50,1231.234247
-56.647699,50,1260.479639
-61.968857,50,1273.151457
-51.446706,50,1312.201745
-58.868926,50,1333.603695
-55.59766,50,1346.948072
-60.049425,50,1362.874145
-59.487415,50,1376.354123
-51.377438,50,1393.75912
-47.982843,50,1408.888171
-51.748319,50,1425.334549
-54.29213,50,1443.646533
-66.751201,50,1461.304488
-65.154529,50,1482.396944
-56.242923,50,1495.803658
-440.846845,41,1518.99043
-64.33048,50,1530.723979
-40.774289,50,1563.260901
-70.046061,50,1586.408427
-78.457723,50,1611.194805
-64.4603,50,1626.661232
-58.325436,50,1643.44975
-74.1322,50,1660.561789
-67.268404,50,1676.049832
-69.809251,50,1698.610569
-58.520226,50,1731.514084
-55.539426,50,1747.241079
-64.938759,50,1784.74768
-52.752637,50,1802.833073
-54.151592,50,1818.368078
-52.074748,50,1839.77584
-61.484334,50,1865.642589
-45.435881,50,1884.925356
-63.688844,50,1917.859544
-45.183201,50,1939.99657
-51.15437,50,1954.846732
-49.535287,50,1996.857012
-48.617819,50,2015.014017
-55.96847,50,2040.050473
-419.709908,16,2070.803444
-414.656781,13,2076.582632
-53.610563,50,2086.18465
-77.437373,50,2115.573392
-41.767942,50,2134.505328
-40.932831,50,2177.01989
-53.228074,50,2191.466234
-70.817806,50,2217.722629
-61.773299,50,2231.816285
-61.068916,50,2257.097332
-71.662643,50,2271.066369
-80.046242,50,2284.565467
-70.458896,50,2306.488814
-58.716191,50,2323.529006
-63.986784,50,2351.274759
-68.040387,50,2372.060117
-48.128581,50,2388.053721
-52.278383,50,2411.978687
-54.724432,50,2445.137608
-54.223907,50,2460.786091
-55.685153,50,2480.443103
-59.239308,50,2499.835941
-50.12139,50,2516.113063
-55.946706,50,2544.588223
-44.579194,50,2559.448101
-64.085628,50,2589.322202
-74.167262,50,2611.260558
-67.461201,50,2631.320701
-63.483321,50,2657.710757
-47.286343,50,2687.541667
-63.615716,50,2718.708831
-52.26319,50,2752.833484
-51.206547,50,2777.960553
-60.0704,50,2802.02744
-54.874796,50,2823.877481
-42.566112,50,2851.647755
-59.657303,50,2878.691573
-64.714464,50,2908.860997
-54.641918,50,2931.94255
-44.182421,50,2961.965999
-44.92827,50,2988.203678
-44.278605,50,3017.640882
-44.976864,50,3051.286968
-51.054586,50,3083.266944
-55.662457,50,3117.600571
-51.533655,50,3148.998275
-46.60242,50,3183.580864
-39.699306,50,3211.201665
-47.05457,50,3237.4609
-46.428063,50,3262.871912
-44.994948,50,3284.101574
-49.464568,50,3314.288891
-54.832221,50,3330.728255
-47.075218,50,3349.401596
-59.200797,50,3372.021888
-49.199175,50,3394.296376
-49.698259,50,3408.758811
-57.727827,50,3433.320419
-46.626797,50,3457.779472
-51.715805,50,3484.537953
-43.57075,50,3518.428782
-45.957694,50,3540.681768
-45.574694,50,3573.502609
-52.196523,50,3596.773838
-51.529617,50,3617.772394
-43.567023,50,3637.935881
-53.726375,50,3665.859166
-52.852475,50,3685.942061
-59.248835,50,3706.873461
-55.833961,50,3722.526133
-42.11035,50,3739.758876
-52.229979,50,3768.542627
-44.514071,50,3786.625296
-50.953665,50,3801.473824
-64.072621,50,3832.303929
-45.052493,50,3860.418533
-58.727391,50,3878.189558
-58.979418,50,3894.175341
-66.916361,50,3911.656706
-56.128694,50,3936.540915
-63.44913,50,3956.137387
-53.301407,50,3983.39435
-39.07483,50,4012.76492
-46.684747,50,4040.945321
-61.326589,50,4061.458799
-42.799689,50,4088.271069
-39.675009,50,4110.031178
-54.248717,50,4133.563614
-44.17863,50,4154.694745
-44.308613,50,4177.91317
