#{"t_start": 1643969569.751914, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,100,6.803183
20.280643,100,13.309838
15.619319,100,35.273615
7.026577,56,55.188294
10.480833,75,69.21461
0.432648,46,85.940557
0.071811,52,96.830893
1.97195,77,110.688635
1.994567,100,128.363329
22.466039,100,150.031431
12.566862,100,171.962004
2.350188,66,192.021126
12.678099,100,208.416386
0.518296,57,228.002362
2.006364,53,240.677284
3.900256,52,252.779783
5.303841,60,265.465901
3.579998,59,278.541966
1.271096,52,291.694921
7.311309,73,304.721332
0.256433,64,320.932658
2.517434,68,335.504568
1.979636,67,350.654881
0.256928,72,365.564809
1.001765,57,380.746116
5.00396,49,393.721791
11.732568,63,405.607109
8.137592,47,419.039156
4.344272,64,431.153518
4.727604,72,445.814304
5.45563,62,462.19681
5.96669,48,476.837405
0,10,486.660728
5.765553,65,491.954242
14.463897,61,505.511443
0,14,517.385021
0,19,521.663655
4.977901,72,528.726828
8.60669,60,544.174169
0,9,555.502438
5.439469,79,561.126542
25.473564,100,579.425462
17.465651,78,600.555843
0,10,616.605175
0,12,619.6374
0,9,623.365797
7.643962,52,628.015833
0,9,638.836304
5.790223,55,643.46087
4.957871,51,656.986045
0,5,666.372294
9.891509,67,670.998039
8.424904,99,688.372242
0,6,706.431373
0,5,708.48746
0,6,710.204727
2.765532,77,715.537514
3.95592,72,732.214797
0,6,745.453542
0,6,747.458555
0,6,749.491589
0,100,755.550577
0,100,777.399966
1.070527,77,799.21308
2.330374,82,817.113906
13.275666,100,835.932639
0,7,853.483251
0,8,855.503914
10.527777,84,861.210418
1.189861,100,880.580527
0,8,898.373352
0,11,901.090647
0,100,908.001924
0.09635,100,929.391064
1.336034,100,950.777408
7.240862,91,971.919942
0,8,989.270264
0,14,991.976386
0,6,995.783265
0,5,997.750201
0,6,999.481124
5.932297,100,1005.37966
0,13,1023.484746
0,7,1027.563413
0,7,1030.478537
0,25,1033.712078
0,6,1039.21358
0,5,1041.390914
0,8,1043.358558
0,6,1045.604883
0,6,1047.634659
0,7,1049.869866
0,7,1052.039371
0,9,1054.284853
0,8,1056.85623
0,7,1059.193832
0,14,1061.975728
0,7,1065.552272
0,6,1067.57625
0,6,1069.469379
0,7,1071.644361
0,5,1073.87378
0,7,1075.725909
0,36,1078.969219
0,7,1086.335378
0,7,1088.436005
0,7,1090.485992
6.583755,100,1096.501217
0,7,1114.735321
0,7,1116.953226
0,7,1119.125974
0,7,1121.324689
0,8,1123.655787
0,8,1125.991645
0,7,1128.415225
0,7,1130.683818
0,7,1133.03275
0,8,1135.367816
7.562815,90,1140.754135
0,7,1412.173631
0,6,1414.396241
0,4,1416.210311
0,11,1418.084689
0,7,1420.830998
0,7,1423.048913
0,7,1425.311645
0,7,1427.612444
0,6,1429.562541
0,14,1431.587062
0,6,1435.095209
0,6,1437.035051
0,9,1439.244901
0,7,1441.857219
0,5,1444.080347
0,6,1445.664843
0,9,1447.595114
0,6,1450.189589
0,5,1452.009819
0,7,1453.66828
0,6,1455.890184
0,7,1457.915027
0,5,1459.952755
0,5,1461.624886
0,7,1463.427881
0,10,1465.649236
0,8,1468.233977
0,7,1470.665416
0,7,1472.867041
0,6,1475.058128
0,8,1477.075213
0,7,1479.389209
0,8,1481.554907
0,7,1483.846008
0,7,1486.045761
0,8,1488.08387
0,8,1490.616847
0,7,1492.909309
0,7,1495.03943
0,7,1497.375665
0,6,1499.680679
0,7,1501.587977
0,8,1503.716496
0,8,1506.041661
0,6,1508.276962
0,6,1510.263448
0,9,1512.33542
0,8,1514.925929
0,6,1517.172074
0,6,1518.996941
0,7,1521.031073
0,8,1523.040632
0,7,1525.099507
0,7,1527.664179
0,6,1529.792831
0,8,1531.961581
0,7,1534.50921
0,9,1537.044494
0,9,1539.430923
0,7,1542.2321
0,9,1544.353944
0,8,1546.645349
0,6,1548.959889
0,8,1550.983463
0,7,1553.413546
0,7,1555.566395
0,7,1557.867534
0,6,1559.849676
0,7,1561.904688
0,7,1564.042315
0,8,1566.180662
0,8,1568.296331
0,7,1570.596985
0,8,1572.861071
0,8,1575.134562
0,7,1577.487146
0,7,1579.750547
0,7,1582.114256
0,7,1584.342583
0,7,1586.709893
0,6,1589.090449
0,8,1591.190152
0,7,1593.493273
0,5,1595.718831
0,7,1597.413812
0,7,1599.679183
0,8,1601.842162
0,6,1604.213975
0,7,1606.355917
0,7,1608.527343
0,6,1610.608358
0,8,1612.796985
0,8,1614.932506
0,7,1617.288914
0,6,1619.517873
0,6,1621.561235
0,7,1623.632588
0,7,1625.791226
0,7,1628.297215
0,6,1630.525493
0,8,1632.523205
0,5,1634.780535
0,7,1636.692118
0,6,1638.903924
0,6,1640.933501
0,7,1642.814978
0,6,1644.966287
0,6,1646.763617
0,8,1648.757418
0,6,1650.890165
0,7,1652.863616
0,8,1654.959684
0,8,1657.363379
0,7,1659.818537
0,7,1661.902189
0,8,1663.885578
0,6,1666.309887
0,7,1668.532393
0,8,1670.758915
0,7,1672.994117
0,6,1675.014461
0,6,1677.017447
0,8,1679.080847
0,7,1681.522477
0,8,1683.667775
0,9,1685.847936
0,6,1688.401863
0,6,1690.361728
0,6,1692.35605
0,6,1694.458552
0,7,1696.535909
0,6,1698.587041
0,7,1700.496691
0,8,1702.748843
0,7,1704.982263
0,7,1707.039175
0,5,1709.265138
0,5,1711.034044
0,7,1712.830759
0,5,1715.157586
0,8,1717.07674
0,5,1719.163584
0,7,1721.088589
0,4,1723.091913
0,8,1724.813602
0,6,1727.253771
0,7,1729.158198
0,8,1731.453754
0,5,1733.7681
0,5,1735.30406
0,5,1737.178046
0,7,1738.879936
0,7,1741.095537
0,5,1743.149542
0,5,1744.950218
0,4,1746.636183
0,5,1748.21833
0,4,1750.129389
0,5,1751.842353
0,4,1753.691358
0,4,1755.306036
0,5,1756.810539
0,6,1758.692496
0,7,1760.608772
0,8,1762.661297
0,6,1764.992311
0,8,1766.887978
0,6,1769.284752
0,7,1771.041368
0,7,1773.265102
0,6,1775.201423
0,8,1777.21795
0,7,1779.804776
0,5,1781.864867
0,4,1783.470832
0,7,1784.982522
0,6,1787.142152
0,5,1789.221608
0,7,1790.925081
0,7,1793.021949
0,6,1794.962388
0,7,1797.14628
0,6,1799.446393
0,4,1801.352097
0,6,1803.001659
0,5,1804.797472
0,6,1806.741792
0,5,1808.685981
0,6,1810.675008
0,7,1812.741106
0,7,1814.814773
0,4,1817.060776
0,6,1818.677816
0,6,1820.650873
0,5,1822.375226
0,6,1824.328905
0,5,1826.202541
0,7,1827.813386
0,6,1829.48244
0,5,1831.3964
0,7,1833.255012
0,8,1835.282061
0,5,1837.762107
0,6,1839.70763
0,5,1841.709167
0,6,1843.631008
0,6,1845.721296
0,8,1847.978201
0,7,1850.213165
0,6,1852.352279
0,6,1854.37653
0,7,1856.452243
0,6,1858.462493
0,7,1860.455315
0,5,1862.542237
0,6,1864.01677
0,6,1866.133494
0,8,1868.030383
0,6,1870.321949
0,5,1872.408248
0,7,1874.148155
0,6,1876.330313
0,6,1878.364876
0,7,1880.564173
0,5,1882.852664
0,5,1884.464111
0,5,1886.31167
0,8,1888.079461
0,7,1890.572595
0,6,1893.038154
0,5,1894.992506
0,7,1896.880982
0,7,1898.846195
0,6,1900.90769
0,7,1902.684203
0,5,1904.826811
0,6,1906.738899
0,7,1908.542714
0,6,1910.687686
0,5,1912.742697
0,4,1914.5312
0,7,1916.06802
0,6,1918.025426
0,5,1919.7082
0,6,1921.308147
0,7,1923.440421
0,5,1925.69482
0,6,1927.526136
0,7,1929.428273
0,5,1931.521998
0,5,1933.173499
0,5,1935.047266
0,5,1936.732329
0,7,1938.679133
0,6,1940.44422
0,6,1942.217494
0,5,1944.304648
0,7,1946.236748
