#{"t_start": 1644220734.8411236, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,100,7.637015
12.001542,93,14.533731
13.762637,100,35.667321
11.71083,100,58.488109
13.531395,88,81.15657
8.301423,76,101.22795
0,6,114.87154
11.892034,80,121.031134
0,1,135.354273
9.745903,83,140.782422
7.802932,100,160.33585
15.442675,100,182.232023
12.923833,100,203.486059
0,1,221.371953
12.98507,100,225.913042
8.186644,89,246.875984
13.222054,94,265.928353
5.772865,100,286.699804
11.763837,91,308.680559
7.447328,100,328.738567
15.763778,100,350.185098
15.473516,100,371.45581
12.066092,96,393.752206
6.851432,100,413.96367
15.262068,96,435.144874
13.803691,96,455.67068
6.418887,100,478.022336
8.438339,100,499.40552
12.805919,91,520.031357
14.454497,86,539.91707
12.615213,92,558.731663
9.253906,93,578.847525
8.847005,91,598.502919
13.106293,81,617.846502
17.603734,91,636.066342
11.071963,87,655.676021
10.290926,100,674.449053
11.234611,100,695.148886
12.082482,89,716.364484
7.193278,100,735.939831
15.095706,100,757.28404
8.641719,100,778.194186
13.859438,93,799.859571
5.77607,84,819.637886
8.864595,100,838.500829
11.447724,97,859.854606
13.881262,91,880.640454
10.382262,100,900.861639
1.12033,64,921.141426
11.292741,100,936.492245
13.018608,100,958.08393
14.318799,100,979.962614
13.455217,100,1001.156974
5.405253,81,1023.041686
16.267013,100,1042.48974
12.699057,100,1064.940039
10.836919,100,1089.682964
12.935604,88,1111.85614
14.127871,100,1130.867431
15.776797,100,1153.262104
11.845609,92,1174.548521
4.702522,70,1193.25517
5.207855,78,1208.967034
16.387981,100,1227.245469
9.300583,100,1248.457964
20.14528,100,1273.435467
6.17023,87,1298.537962
13.465256,100,1317.48259
13.16847,87,1340.473321
11.739361,77,1361.055547
5.630999,70,1378.44548
9.062803,100,1397.88001
9.76529,90,1422.51481
4.565173,72,1443.935081
17.869663,100,1460.63467
14.27894,97,1717.34038
11.668361,98,1738.019418
12.205892,84,1761.255576
8.462846,86,1778.906867
14.066517,100,1797.384654
9.024788,88,1817.92425
13.816626,86,1837.066828
13.376588,100,1855.562248
13.927808,100,1876.997881
12.702143,100,1898.1307
12.148696,82,1919.877445
13.041585,100,1937.761105
11.08368,94,1958.878222
12.824774,100,1978.578006
17.68373,98,1999.696144
14.414438,100,2020.011729
13.267328,89,2041.724636
10.49241,100,2060.853926
12.656869,100,2081.631457
17.01583,92,2102.975651
10.082916,100,2123.116542
15.60829,100,2144.17119
17.43494,94,2164.873845
10.549472,83,2184.654495
11.636731,99,2202.805814
9.372112,76,2223.304151
13.701547,100,2240.474544
7.927337,72,2260.872928
14.223143,86,2277.161264
17.162047,94,2297.723057
13.666294,100,2318.237861
10.17439,100,2340.130186
14.598094,97,2360.994955
11.542806,100,2381.367078
11.032707,100,2402.40566
10.892713,100,2423.696038
14.445209,100,2446.844456
17.055472,92,2522.151428
11.779958,100,2798.711795
19.72407,100,2820.635566
13.313406,100,2843.546928
9.499446,100,2864.739224
9.73726,95,2885.668776
11.099196,100,2906.173801
13.754111,92,2927.110178
8.880388,100,2946.719078
16.022082,92,2968.138734
7.526363,89,2986.792348
13.19527,100,3006.190295
7.251929,96,3027.005486
12.299891,100,3048.6643
11.463943,93,3385.32505
14.402755,93,3404.41529
10.882363,94,3424.613301
14.292467,95,3445.347892
14.17627,100,3465.973774
11.643801,100,3487.728547
13.437106,100,3509.200903
12.147134,100,3529.791129
16.322087,92,3551.047501
10.904819,98,3570.305265
12.156116,100,3591.039381
13.761242,89,3612.40057
14.464192,95,3631.799237
12.860381,94,3651.941856
14.896866,97,3672.198035
13.484495,99,3693.081922
0.09857,100,3714.434148
12.241297,95,3735.287553
9.636191,100,3755.538386
18.394396,97,3777.161376
7.484332,100,3797.354241
13.524244,89,3818.422177
12.557466,89,3837.919549
11.514829,100,3857.060636
11.740965,100,3878.769815
14.646847,100,3899.772677
11.696834,100,3920.456977
15.264763,95,3941.465059
14.080761,100,3961.655229
9.188649,87,3982.32446
9.972644,95,4001.075496
10.091623,100,4021.44701
9.795958,84,4042.281777
16.361123,100,4060.683261
10.279828,100,4081.393951
10.208383,100,4102.645806
14.41877,100,4123.382955
7.695294,100,4144.113302
4.862608,100,4165.502649
4.86241,100,4185.995064
4.656217,100,4206.487956
12.448372,100,4226.988095
0,1,4275.126908
