#{"t_start": 1644400076.201242, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,100,7.857996
28.213932,94,14.010442
32.289522,87,34.780805
29.489256,89,54.66608
29.250261,95,77.761853
32.999737,99,99.361811
26.67438,79,121.030314
224.543647,87,138.687295
227.708522,99,159.089159
32.31449,99,180.8923
30.313608,100,202.665062
30.66339,87,223.788198
231.027894,97,243.218513
33.228341,96,263.891346
28.156601,100,284.97808
26.958577,100,306.199271
230.210862,93,327.357394
32.112597,100,347.497767
229.116224,97,369.063534
25.188692,93,390.579826
224.126083,84,410.073763
225.530266,80,428.13133
227.021161,84,445.890476
25.069226,96,465.869558
230.368856,84,485.698985
16.879867,85,503.810965
219.169304,80,520.81016
21.79226,81,537.821402
26.940148,99,555.760039
223.662707,81,576.530712
30.464169,100,594.435677
31.459371,95,615.27799
226.627057,93,635.650734
27.948607,100,656.069263
32.791529,100,677.340498
27.487443,100,698.311564
27.094393,100,718.668568
23.353034,100,739.88679
234.808053,100,761.239553
221.63183,78,781.274606
28.097404,100,798.592751
26.586479,91,819.815837
14.757052,66,838.467639
31.986172,100,854.264066
28.877129,100,875.489859
25.915041,100,896.291338
26.576639,100,917.226542
29.065835,100,937.769134
28.259176,100,958.341662
30.92521,100,979.695743
22.17352,100,1000.535485
23.803857,100,1023.340191
22.614036,93,1046.709001
27.007093,100,1067.880754
16.016046,90,1090.449151
20.260319,90,1111.685683
10.150487,86,1131.822755
24.775835,99,1151.452352
27.359871,100,1173.586299
20.621749,100,1195.301
25.280058,100,1216.929155
224.581471,83,1238.066193
24.587801,100,1256.775239
28.967449,94,1277.702207
16.917029,100,1297.921476
33.415563,100,1319.720603
33.432296,100,1342.204753
26.662519,100,1364.021675
15.04985,100,1385.953815
23.962298,100,1407.627751
28.819043,88,1431.040552
229.636415,85,1449.418821
225.927486,81,1467.386222
29.954377,85,1484.41427
27.03577,80,1502.762159
30.889104,92,1520.014146
228.277466,85,1539.208323
221.002514,97,1557.457564
223.072062,77,1577.257573
16.886809,100,1594.24719
19.388934,100,1615.576094
219.656366,73,1635.589203
223.504977,96,1652.15608
224.012686,97,1672.264258
23.160439,100,1692.616143
14.466212,100,1713.440322
227.991379,98,1734.628104
14.64788,100,1755.171259
21.69581,100,1777.723741
21.444113,100,1799.747974
26.243461,100,1822.553223
23.324802,100,1844.996357
225.161112,98,1866.896088
26.434442,100,1887.991104
27.993229,97,1909.412458
29.202737,96,1930.488531
28.626236,100,1951.002869
222.86731,96,1972.283041
21.467887,83,1992.378722
227.894911,87,2011.21821
24.161366,100,2030.521099
221.871964,93,2052.287825
232.303466,83,2072.210548
220.847671,94,2335.771144
26.385706,81,2355.497137
220.876633,73,2371.811905
225.857959,79,2387.760449
226.804014,98,2405.077231
28.827421,100,2425.85687
25.464361,78,2446.466425
226.529949,85,2462.994742
224.525224,72,2480.648657
26.969428,100,2497.312919
29.090373,80,2517.537954
233.289087,100,2535.736052
22.206525,100,2556.790007
231.728151,97,2577.628572
33.061312,100,2597.861367
28.864201,82,2618.087341
26.309931,100,2636.066264
26.476152,92,2657.17452
221.071853,93,2676.955088
225.055433,76,2696.325063
26.391906,75,2712.771497
23.093656,75,2729.287383
229.964248,97,2746.368367
27.599194,90,2765.935812
31.486547,91,2785.331241
0,1,2800.890119
227.663564,97,2805.390672
26.880611,100,2826.706564
36.834054,100,2847.872185
29.982196,100,2868.625272
23.803859,82,2888.800373
223.478662,89,2906.413982
29.576025,100,2926.106714
24.645753,100,2947.478636
33.062734,89,2968.704471
29.848629,100,2988.108325
38.294879,100,3009.625028
31.818931,100,3030.879297
30.693717,100,3052.001573
232.240743,98,3072.223112
40.130449,100,3093.493281
18.600197,100,3114.242024
230.629579,99,3135.832415
26.038945,81,3155.960998
226.56853,94,3173.941824
45.199365,100,3194.335463
36.054683,100,3215.157274
31.736259,100,3236.806877
25.945633,77,3257.311878
29.972885,84,3274.346509
23.751094,98,3293.775322
28.762035,100,3314.775825
27.887135,85,3334.327566
226.396144,96,3353.090758
29.31494,100,3373.754913
29.193907,100,3394.787312
32.096342,97,3416.198885
37.552018,100,3437.120579
