#{"t_start": 1643621120.784811, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
-57.808273,50,20.957263
-59.312618,50,30.681272
-57.074569,50,41.707681
-49.683822,50,72.693938
-58.407957,50,114.049278
-437.886957,45,136.743252
-72.312273,50,163.767934
-69.902653,50,186.758976
-67.668935,50,212.825496
-410.850063,10,226.188591
-408.428504,8,232.817488
-409.652613,9,238.75551
-408.43782,8,245.445662
-408.429239,8,252.438263
-409.628203,9,256.323294
-408.382083,8,263.220813
-408.312053,8,266.741045
-405.90598,6,270.539698
-404.747302,5,274.410478
-404.79785,5,277.96667
-407.256657,7,282.209068
-56.650427,50,291.343884
-52.359342,50,307.242798
-51.75026,50,335.636861
-53.035998,50,360.392297
-53.287379,50,375.119869
-53.0344,50,399.723653
-53.263108,50,426.311126
-53.081791,50,445.04066
-53.033838,50,460.599944
-52.851829,50,477.045864
-52.888585,50,508.3233
-55.261673,50,531.704114
-418.653145,16,546.934274
-416.237871,14,551.926879
-415.160822,13,556.839455
-412.702279,11,562.132743
-414.177587,12,569.839754
-412.814381,11,577.588067
-412.827255,11,581.855952
-412.88659,11,585.845195
-412.890402,11,591.274738
-417.10499,14,595.681851
-81.972117,50,604.778476
-58.626505,50,621.85653
-68.459319,50,658.931814
-70.295249,50,677.634232
-72.52868,50,699.290285
-72.544425,50,714.997594
-71.000381,50,733.916951
-71.26471,50,760.17982
-70.749326,50,779.621289
-71.065101,50,805.168319
-71.418383,50,821.702488
-71.40675,50,837.794215
-70.65173,50,861.233994
-71.668695,50,886.597078
-70.788508,50,907.14943
-70.577003,50,923.990719
-71.636676,50,947.244721
-71.363146,50,967.616641
-71.620879,50,1002.143169
-71.19431,50,1020.095485
-70.770524,50,1041.258116
-71.423636,50,1057.813337
-69.451297,50,1080.000654
-69.446798,50,1096.278358
-69.252948,50,1117.103791
-69.563982,50,1134.118853
-70.246823,50,1155.252515
-69.5922,50,1176.956952
-77.181988,50,1205.319813
-76.722821,50,1230.876326
-74.298714,50,1253.181188
-76.77615,50,1281.928904
-455.965592,40,1300.942295
-435.745953,27,1317.580752
-74.037257,50,1334.475673
-457.588214,41,1358.817048
-468.979879,48,1383.246394
-462.682126,44,1405.511852
-452.920403,38,1420.437207
-74.427571,50,1434.756725
-73.978351,50,1451.790974
-69.871285,50,1470.387454
-60.720578,50,1501.137717
-59.701029,50,1520.574138
-59.928726,50,1545.990866
-60.252147,50,1566.883562
-62.537746,50,1590.717714
-62.256255,50,1613.450629
-59.03667,50,1646.06864
-56.073889,50,1666.638742
-56.664835,50,1685.609219
-57.053938,50,1704.961034
-56.291989,50,1739.818565
-56.325953,50,1759.654499
-56.67559,50,1779.455428
-57.657033,50,1797.491103
-57.383561,50,1815.146574
-56.748188,50,1838.490636
-57.441692,50,1859.014737
-55.997353,50,1874.635038
-58.106767,50,1896.304659
-58.146568,50,1916.025381
-57.351848,50,1937.693724
-56.690562,50,1970.674765
-420.71617,18,1986.517481
-413.382134,12,1995.8402
-412.181536,11,1999.776415
-410.980042,10,2008.460115
-410.953278,10,2014.364528
-412.222659,11,2022.693036
-412.241139,11,2027.022569
-414.729851,13,2031.092923
-424.720886,21,2041.064448
-60.919359,50,2051.440151
-61.682029,50,2078.351677
-63.172388,50,2100.941647
-72.411637,50,2116.699174
-82.056537,50,2142.244145
-82.112047,50,2174.41718
-76.928401,50,2200.91414
-77.56029,50,2219.165359
-77.554357,50,2250.390079
-78.302359,50,2273.81467
-77.686737,50,2293.266017
-420.937583,18,2318.927668
-417.038532,15,2327.680971
-66.078696,50,2338.765355
-69.41358,50,2359.263525
