#{"t_start": 1644673223.226227, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,100,6.41643
24.855365,86,11.410542
0,7,27.558702
226.313672,77,32.744381
29.086633,94,50.013
222.534209,73,69.359084
0,8,82.763076
228.36444,96,88.422221
228.135548,86,109.021903
14.962196,85,128.319163
225.707353,82,147.831179
0,6,162.278367
226.916574,85,167.272035
14.641038,81,186.135087
223.227714,84,203.990282
10.992322,70,221.810294
226.517733,80,237.449166
14.072108,71,254.194146
224.551827,77,270.4593
26.058735,100,288.616438
11.344754,72,311.019809
12.086075,70,327.491607
227.238859,87,343.606401
0,7,359.454688
17.722708,72,364.002011
225.555534,82,380.170781
21.510761,88,398.358815
223.309435,72,417.115474
222.617424,69,432.607289
225.067677,75,448.642912
22.411494,86,465.301805
25.115795,93,484.117591
224.852494,79,503.191424
222.073297,78,519.757337
35.253544,100,537.459957
0,6,555.86746
220.145105,70,560.446753
15.080062,80,576.468041
14.70636,78,593.739692
0,9,608.412519
16.169448,79,613.542137
32.818853,92,631.827495
221.15031,74,651.743229
222.491123,80,668.537231
17.680469,84,686.495663
36.87992,100,705.3148
22.457121,88,725.890856
221.051352,75,744.401708
224.652401,84,760.908342
29.423997,100,779.84305
1.779398,100,801.140988
17.292521,80,821.587771
227.035324,81,839.295295
221.585435,75,856.681151
224.382665,81,873.516143
36.272979,100,892.230088
225.449917,80,913.066276
222.505932,86,930.717175
3.833322,100,949.523975
225.735715,82,969.914289
227.34151,81,987.978049
33.647052,100,1006.112418
222.461986,78,1026.450331
0,100,1044.259129
25.778147,87,1065.233034
224.313954,74,1083.05567
220.954516,69,1099.487446
27.887791,95,1115.885062
229.259461,98,1136.741174
27.044092,100,1157.964844
22.769951,100,1180.040052
26.442545,93,1201.161624
220.749614,71,1220.785178
27.231308,100,1237.565068
217.9205,84,1258.792084
223.120349,86,1276.959862
1.448706,100,1295.56295
228.640491,89,1316.464649
230.820657,84,1335.113078
34.797735,99,1354.276237
229.225623,89,1374.66584
29.691527,100,1393.973405
30.139783,99,1415.314122
227.313211,97,1437.234201
227.359057,88,1458.377215
231.677004,100,1477.847316
34.548208,93,1499.238464
0,6,1516.258227
0,7,1518.458389
229.220682,87,1523.54601
228.150745,87,1542.316061
222.313375,80,1560.377725
0,25,1575.35738
226.904376,81,1583.434777
229.605853,99,1601.644905
234.009449,87,1622.042329
0,8,1637.508868
224.396107,79,1642.614191
227.977784,83,1660.068971
227.988285,77,1677.529552
227.442367,83,1694.141547
29.11225,100,1713.166193
17.64894,83,1733.877188
31.84993,100,1752.970702
231.876006,84,1773.593119
229.581347,97,1793.039454
0,7,1810.973058
228.27858,82,1816.406102
43.397907,100,1835.82272
230.764679,97,1856.867234
225.427927,74,1876.613383
29.416888,100,1893.681451
26.38719,82,1914.962188
31.069769,97,1933.322273
230.079956,96,1954.078635
230.131639,94,1974.135152
0,9,1991.376817
40.218354,100,1998.093379
221.66469,83,2018.853945
0,21,2034.429714
0,14,2039.858749
224.651743,81,2046.190895
15.405623,68,2063.798752
30.199157,100,2079.945473
0,10,2098.316081
33.771131,98,2104.841048
223.91599,81,2125.04347
223.038416,80,2142.24881
30.407097,100,2159.613984
229.113269,95,2180.630776
38.755999,100,2200.698021
0,11,2218.100015
27.337712,100,2225.072154
32.265645,100,2246.302148
231.262299,97,2266.951265
34.008566,100,2287.564204
28.37596,100,2308.857013
227.003856,81,2329.749158
30.096797,100,2347.78779
0,6,2366.543021
24.592276,100,2371.886381
28.287757,100,2392.899468
30.482379,92,2413.986337
29.380907,100,2433.89568
25.083899,86,2455.085032
223.268246,82,2473.061226
0,8,2487.676354
29.09112,100,2493.470734
221.159104,78,2514.208993
25.108449,87,2530.799842
224.718031,85,2549.043746
27.458148,91,2567.238446
0,8,2583.075468
228.085664,91,2588.394736
227.557851,84,2607.333787
223.954003,79,2625.073199
0,9,2639.812159
29.898038,100,2645.875432
30.414043,90,2666.889464
225.616741,83,2686.098962
225.851782,82,2704.455227
225.477273,81,2721.80089
226.624689,79,2738.87794
0,9,2753.471375
0,7,2755.969465
228.075408,82,2760.717988
